Altitude/ft,time_pre/min,exercise_level,time_exposure/min,risk
32000,220,3,90,0.31
32000,220,3,100,0.35
32000,220,3,110,0.39
32000,220,3,120,0.43
32000,220,3,130,0.47
32000,220,3,140,0.5
32000,220,3,150,0.53
32000,220,3,160,0.56
32000,220,3,170,0.59
32000,220,3,180,0.62
32000,220,3,190,0.64
32000,220,3,200,0.66
32000,220,3,210,0.68
32000,220,3,220,0.7
32000,220,3,230,0.72
32000,220,3,240,0.73
32000,240,3,10,0.01
32000,240,3,20,0.02
32000,240,3,30,0.05
32000,240,3,40,0.08
32000,240,3,50,0.11
32000,240,3,60,0.15
32000,240,3,70,0.19
32000,240,3,80,0.23
32000,240,3,90,0.27
32000,240,3,100,0.32
32000,240,3,110,0.35
32000,240,3,120,0.39
32000,240,3,130,0.43
32000,240,3,140,0.46
32000,240,3,150,0.5
32000,240,3,160,0.53
32000,240,3,170,0.55
32000,240,3,180,0.58
32000,240,3,190,0.6
32000,240,3,200,0.63
32000,240,3,210,0.65
32000,240,3,220,0.67
32000,240,3,230,0.69
32000,240,3,240,0.7
34000,0,3,10,0.05
34000,0,3,20,0.15
34000,0,3,30,0.28
34000,0,3,40,0.39
34000,0,3,50,0.49
34000,0,3,60,0.58
34000,0,3,70,0.65
34000,0,3,80,0.7
34000,0,3,90,0.74
34000,0,3,100,0.78
34000,0,3,110,0.81
34000,0,3,120,0.83
34000,0,3,130,0.85
34000,0,3,140,0.87
34000,0,3,150,0.88
34000,0,3,160,0.9
34000,0,3,170,0.91
34000,0,3,180,0.91
34000,0,3,190,0.92
34000,0,3,200,0.93
34000,0,3,210,0.93
34000,0,3,220,0.94
34000,0,3,230,0.94
34000,0,3,240,0.95
34000,20,3,10,0.04
34000,20,3,20,0.14
34000,20,3,30,0.25
34000,20,3,40,0.36
34000,20,3,50,0.46
34000,20,3,60,0.54
34000,20,3,70,0.61
34000,20,3,80,0.67
34000,20,3,90,0.71
34000,20,3,100,0.75
34000,20,3,110,0.78
34000,20,3,120,0.81
34000,20,3,130,0.83
34000,20,3,140,0.85
34000,20,3,150,0.87
34000,20,3,160,0.88
34000,20,3,170,0.89
34000,20,3,180,0.9
34000,20,3,190,0.91
34000,20,3,200,0.92
34000,20,3,210,0.92
34000,20,3,220,0.93
34000,20,3,230,0.94
34000,20,3,240,0.94
34000,40,3,10,0.04
34000,40,3,20,0.12
34000,40,3,30,0.22
34000,40,3,40,0.32
34000,40,3,50,0.42
34000,40,3,60,0.5
34000,40,3,70,0.57
34000,40,3,80,0.63
34000,40,3,90,0.68
34000,40,3,100,0.72
34000,40,3,110,0.76
34000,40,3,120,0.79
34000,40,3,130,0.81
34000,40,3,140,0.83
34000,40,3,150,0.85
34000,40,3,160,0.86
34000,40,3,170,0.88
34000,40,3,180,0.89
34000,40,3,190,0.9
34000,40,3,200,0.91
34000,40,3,210,0.91
34000,40,3,220,0.92
34000,40,3,230,0.93
34000,40,3,240,0.93
34000,60,3,10,0.03
34000,60,3,20,0.1
34000,60,3,30,0.2
34000,60,3,40,0.29
34000,60,3,50,0.38
34000,60,3,60,0.47
34000,60,3,70,0.54
34000,60,3,80,0.6
34000,60,3,90,0.65
34000,60,3,100,0.69
34000,60,3,110,0.73
34000,60,3,120,0.76
34000,60,3,130,0.79
34000,60,3,140,0.81
34000,60,3,150,0.83
34000,60,3,160,0.84
34000,60,3,170,0.86
34000,60,3,180,0.87
34000,60,3,190,0.88
34000,60,3,200,0.89
34000,60,3,210,0.9
34000,60,3,220,0.91
34000,60,3,230,0.91
34000,60,3,240,0.92
34000,80,3,10,0.03
34000,80,3,20,0.09
34000,80,3,30,0.17
34000,80,3,40,0.26
34000,80,3,50,0.35
34000,80,3,60,0.43
34000,80,3,70,0.5
34000,80,3,80,0.56
34000,80,3,90,0.61
34000,80,3,100,0.66
34000,80,3,110,0.7
34000,80,3,120,0.73
34000,80,3,130,0.76
34000,80,3,140,0.78
34000,80,3,150,0.81
34000,80,3,160,0.82
34000,80,3,170,0.84
34000,80,3,180,0.85
34000,80,3,190,0.87
34000,80,3,200,0.88
34000,80,3,210,0.89
34000,80,3,220,0.89
34000,80,3,230,0.9
34000,80,3,240,0.91
34000,100,3,10,0.02
34000,100,3,20,0.08
34000,100,3,30,0.15
34000,100,3,40,0.23
34000,100,3,50,0.32
34000,100,3,60,0.39
34000,100,3,70,0.46
34000,100,3,80,0.52
34000,100,3,90,0.58
34000,100,3,100,0.63
34000,100,3,110,0.67
34000,100,3,120,0.7
34000,100,3,130,0.73
34000,100,3,140,0.76
34000,100,3,150,0.78
34000,100,3,160,0.8
34000,100,3,170,0.82
34000,100,3,180,0.83
34000,100,3,190,0.85
34000,100,3,200,0.86
34000,100,3,210,0.87
34000,100,3,220,0.88
34000,100,3,230,0.89
34000,100,3,240,0.9
34000,120,3,10,0.02
34000,120,3,20,0.07
34000,120,3,30,0.13
34000,120,3,40,0.21
34000,120,3,50,0.28
34000,120,3,60,0.36
34000,120,3,70,0.42
34000,120,3,80,0.49
34000,120,3,90,0.54
34000,120,3,100,0.59
34000,120,3,110,0.63
34000,120,3,120,0.67
34000,120,3,130,0.7
34000,120,3,140,0.73
34000,120,3,150,0.75
34000,120,3,160,0.78
34000,120,3,170,0.79
34000,120,3,180,0.81
34000,120,3,190,0.83
34000,120,3,200,0.84
34000,120,3,210,0.85
34000,120,3,220,0.86
34000,120,3,230,0.87
34000,120,3,240,0.88
34000,140,3,10,0.02
34000,140,3,20,0.06
34000,140,3,30,0.12
34000,140,3,40,0.18
34000,140,3,50,0.25
34000,140,3,60,0.32
34000,140,3,70,0.39
34000,140,3,80,0.45
34000,140,3,90,0.5
34000,140,3,100,0.55
34000,140,3,110,0.6
34000,140,3,120,0.63
34000,140,3,130,0.67
34000,140,3,140,0.7
34000,140,3,150,0.72
34000,140,3,160,0.75
34000,140,3,170,0.77
34000,140,3,180,0.79
34000,140,3,190,0.8
34000,140,3,200,0.82
34000,140,3,210,0.83
34000,140,3,220,0.84
34000,140,3,230,0.85
34000,140,3,240,0.86
34000,160,3,10,0.02
34000,160,3,20,0.05
34000,160,3,30,0.1
34000,160,3,40,0.16
34000,160,3,50,0.23
34000,160,3,60,0.29
34000,160,3,70,0.35
34000,160,3,80,0.41
34000,160,3,90,0.47
34000,160,3,100,0.51
34000,160,3,110,0.56
34000,160,3,120,0.6
34000,160,3,130,0.63
34000,160,3,140,0.67
34000,160,3,150,0.69
34000,160,3,160,0.72
34000,160,3,170,0.74
34000,160,3,180,0.76
34000,160,3,190,0.78
34000,160,3,200,0.8
34000,160,3,210,0.81
34000,160,3,220,0.82
34000,160,3,230,0.83
34000,160,3,240,0.85
34000,180,3,10,0.01
34000,180,3,20,0.05
34000,180,3,30,0.09
34000,180,3,40,0.14
34000,180,3,50,0.2
34000,180,3,60,0.26
34000,180,3,70,0.32
34000,180,3,80,0.38
34000,180,3,90,0.43
34000,180,3,100,0.48
34000,180,3,110,0.52
34000,180,3,120,0.56
34000,180,3,130,0.6
34000,180,3,140,0.63
34000,180,3,150,0.66
34000,180,3,160,0.69
34000,180,3,170,0.71
34000,180,3,180,0.73
34000,180,3,190,0.75
34000,180,3,200,0.77
34000,180,3,210,0.79
34000,180,3,220,0.8
34000,180,3,230,0.81
34000,180,3,240,0.82
34000,200,3,10,0.01
34000,200,3,20,0.04
34000,200,3,30,0.08
34000,200,3,40,0.13
34000,200,3,50,0.18
34000,200,3,60,0.23
34000,200,3,70,0.29
34000,200,3,80,0.34
34000,200,3,90,0.39
34000,200,3,100,0.44
34000,200,3,110,0.48
34000,200,3,120,0.52
34000,200,3,130,0.56
34000,200,3,140,0.6
34000,200,3,150,0.63
34000,200,3,160,0.65
34000,200,3,170,0.68
34000,200,3,180,0.7
34000,200,3,190,0.72
34000,200,3,200,0.74
34000,200,3,210,0.76
34000,200,3,220,0.77
34000,200,3,230,0.79
34000,200,3,240,0.8
34000,220,3,10,0.01
34000,220,3,20,0.03
34000,220,3,30,0.07
34000,220,3,40,0.11
34000,220,3,50,0.16
34000,220,3,60,0.21
34000,220,3,70,0.26
34000,220,3,80,0.31
34000,220,3,90,0.36
34000,220,3,100,0.4
34000,220,3,110,0.45
34000,220,3,120,0.49
34000,220,3,130,0.52
34000,220,3,140,0.56
34000,220,3,150,0.59
34000,220,3,160,0.62
34000,220,3,170,0.65
34000,220,3,180,0.67
34000,220,3,190,0.69
34000,220,3,200,0.71
34000,220,3,210,0.73
34000,220,3,220,0.75
34000,220,3,230,0.76
34000,220,3,240,0.78
34000,240,3,10,0.01
34000,240,3,20,0.03
34000,240,3,30,0.06
